date,elec1,elec2,elec3,elec4,elec5
2014-03-12,241.44999999999996,659.08,431.46200000000005,687.6800000000001,0.0
2014-03-13,252.00000000000006,604.0199999999999,444.4329999999999,648.1600000000001,0.0
2014-03-14,248.34999999999997,561.7200000000003,414.283,637.4,0.0
2014-03-15,187.74999999999997,394.66,128.82999999999998,374.46,0.0
2014-03-16,194.74999999999997,374.5599999999999,122.612,288.2800000000001,0.0
2014-03-17,255.25,499.28,473.70200000000006,619.3400000000001,0.0
2014-03-18,232.35,508.38000000000005,471.57700000000006,590.04,0.0
2014-03-19,229.00000000000003,515.56,466.00700000000006,588.26,0.0
2014-03-20,245.89999999999992,501.74,430.20099999999996,604.08,0.0
2014-03-21,205.04999999999998,510.0,404.92800000000005,560.9999999999998,0.0
2014-03-22,122.75,338.78000000000003,119.37499999999999,299.17999999999995,0.0
2014-03-23,138.85,344.5,130.206,236.03999999999996,0.0
2014-03-24,230.0,543.08,532.9119999999999,627.42,0.0
2014-03-25,223.14999999999998,640.4799999999999,485.4400000000001,681.54,0.0
2014-03-26,237.09999999999994,661.8800000000001,450.39599999999984,708.6800000000002,0.0
2014-03-27,234.54999999999995,606.4199999999996,537.183,683.5999999999996,0.0
2014-03-28,220.7,625.88,462.92500000000007,656.9400000000002,0.0
2014-03-29,139.85000000000005,395.55999999999995,120.238,393.9800000000001,0.0
2014-03-30,130.15,387.35999999999996,123.44400000000003,330.40000000000003,0.0
2014-03-31,163.24999999999994,541.76,452.22099999999995,640.3599999999998,0.0
2014-04-01,159.1,516.3199999999999,442.215,640.9399999999999,0.0
2014-04-02,137.45000000000002,509.97999999999996,443.1340000000002,621.8199999999999,0.0
2014-04-03,156.7,500.5400000000001,438.494,544.9599999999999,0.0
2014-04-04,160.5,465.68000000000006,402.89399999999995,642.12,0.0
2014-04-05,111.30000000000001,388.75999999999993,122.858,395.1799999999999,0.0
2014-04-06,113.35000000000002,333.1400000000001,122.61899999999999,254.06000000000003,0.0
2014-04-07,169.14999999999992,495.86,449.2689999999999,613.5,0.0
