date,elec1,gas
2014-05-22,578.5000000000002,82.40399999999998
2014-05-23,501.8999999999999,98.242
2014-05-24,308.8999999999999,0.0
2014-05-25,299.29999999999995,0.0
2014-05-26,370.69999999999993,283.2289999999999
2014-05-27,539.8000000000001,379.72099999999995
2014-05-28,549.8000000000001,341.86
2014-05-29,527.9,152.558
2014-05-30,572.6,609.1100000000001
2014-05-31,313.39999999999986,0.0
2014-06-01,302.8,0.0
2014-06-02,545.1000000000001,137.37800000000004
2014-06-03,634.0999999999999,557.5709999999999
2014-06-04,646.9999999999999,1050.7209999999998
2014-06-05,642.7,527.2130000000001
2014-06-06,590.8999999999999,111.639
2014-06-07,397.49999999999983,0.0
2014-06-08,354.6999999999999,0.0
2014-06-09,994.1000000000001,71.26699999999998
2014-06-10,971.5,53.585999999999984
2014-06-11,759.1999999999998,80.38000000000001
2014-06-12,954.3000000000003,44.76899999999999
2014-06-13,976.5,37.67
2014-06-14,243.69999999999996,0.0
2014-06-15,226.29999999999998,0.0
2014-06-16,516.5,213.23000000000002
2014-06-17,713.3000000000002,151.83100000000007
2014-06-18,619.8999999999999,39.882999999999996
2014-06-19,672.0000000000002,0.0
2014-06-20,621.9,0.0
2014-06-21,253.4,0.0
2014-06-22,230.79999999999995,0.0
2014-06-23,734.0,0.0
2014-06-24,703.4999999999998,0.0
2014-06-25,717.9999999999999,0.0
2014-06-26,666.1999999999999,0.0
2014-06-27,691.5,0.0
2014-06-28,263.5,0.0
2014-06-29,356.1,0.0
2014-06-30,734.4999999999999,0.0
2014-07-01,727.3999999999999,0.0
2014-07-02,743.8999999999999,0.0
2014-07-03,838.2999999999997,0.0
2014-07-04,838.5999999999999,0.0
2014-07-05,283.49999999999994,0.0
2014-07-06,317.8000000000001,0.0
2014-07-07,519.8000000000001,0.0
2014-07-08,502.00000000000006,0.0
2014-07-09,588.2000000000002,0.0
2014-07-10,499.30000000000007,0.0
2014-07-11,489.6999999999998,0.0
2014-07-12,244.30000000000007,0.0
2014-07-13,237.79999999999993,0.0
2014-07-14,697.6,0.0
2014-07-15,1108.1999999999998,0.0
2014-07-16,1062.2,0.0
2014-07-17,947.7000000000002,0.0
2014-07-18,964.2999999999998,0.0
2014-07-19,554.3,0.0
2014-07-20,389.6,0.0
2014-07-21,511.49999999999994,0.0
2014-07-22,542.8999999999999,0.0
2014-07-23,419.7999999999999,0.0
