date,elec1,elec2,elec3
2014-04-25,963.9999999999999,953.806,0.0
2014-04-26,474.7,140.11499999999995,0.0
2014-04-27,390.69999999999993,127.25199999999995,0.0
2014-04-28,919.8000000000002,964.4839999999996,0.0
2014-04-29,946.3000000000001,987.7210000000002,0.0
2014-04-30,916.0,1039.961,0.0
2014-05-01,982.2,972.913,0.0
2014-05-02,901.8000000000001,953.8620000000001,0.0
2014-05-03,419.9,211.85700000000006,0.0
2014-05-04,410.70000000000005,125.77199999999996,0.0
2014-05-05,532.8000000000002,902.9029999999998,0.0
2014-05-06,905.9000000000001,1003.2230000000001,0.0
2014-05-07,958.0999999999999,998.7959999999999,0.0
2014-05-08,969.5999999999998,994.1460000000002,0.0
2014-05-09,920.2999999999998,982.337,0.0
2014-05-10,409.1000000000001,122.79499999999999,0.0
2014-05-11,403.4999999999999,122.58000000000003,0.0
2014-05-12,916.8,930.3780000000002,0.0
2014-05-13,924.7000000000002,924.8869999999998,0.0
2014-05-14,910.7,972.094,0.0
2014-05-15,925.2,1012.4940000000001,0.0
2014-05-16,883.7,1051.0769999999995,0.0
2014-05-17,472.79999999999995,117.30999999999999,0.0
2014-05-18,426.59999999999997,114.353,0.0
2014-05-19,902.8000000000001,1172.307,0.0
2014-05-20,924.7,1085.4820000000004,0.0
2014-05-21,934.1,1066.577,0.0
2014-05-22,982.4000000000001,1030.2910000000002,0.0
2014-05-23,1039.2999999999997,1006.9970000000001,0.0
2014-05-24,540.1000000000001,131.72099999999998,0.0
2014-05-25,418.0,121.921,0.0
2014-05-26,560.2,871.2630000000001,0.0
2014-05-27,919.6000000000003,970.8260000000004,0.0
2014-05-28,949.0,938.781,0.0
2014-05-29,924.2000000000002,991.135,0.0
2014-05-30,892.9,941.7359999999999,0.0
2014-05-31,407.99999999999994,138.03600000000003,0.0
2014-06-01,397.0000000000001,130.879,0.0
2014-06-02,926.3000000000001,1045.507,0.0
2014-06-03,954.5000000000002,1012.624,0.0
2014-06-04,944.1000000000001,968.4500000000002,0.0
2014-06-05,907.2000000000002,978.0779999999996,0.0
2014-06-06,890.4,1049.581,0.0
2014-06-07,465.3,128.13999999999996,0.0
2014-06-08,407.3,114.71300000000002,0.0
